/opt/conda/envs/aigc/lib/python3.9/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/opt/conda/envs/aigc/lib/python3.9/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
/opt/conda/envs/aigc/lib/python3.9/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
epoch 0, processed 0 samples, lr 0.0000001000
Epoch: [1][1440/1445]	Time 0.316 (0.322)	Data 0.003 (0.004)	Loss 1.0539 (4.8502)	
begin test
 * MAE 41.987 
 * best MAE 41.987 
epoch 2, processed 2890 samples, lr 0.0000001000
Epoch: [2][0/1445]	Time 0.441 (0.441)	Data 0.308 (0.308)	Loss 1.5057 (1.5057)	
Epoch: [2][30/1445]	Time 0.326 (0.324)	Data 0.003 (0.013)	Loss 7.1650 (7.1146)	
Epoch: [2][60/1445]	Time 0.324 (0.322)	Data 0.006 (0.009)	Loss 1.1244 (4.7417)	
Epoch: [2][90/1445]	Time 0.328 (0.321)	Data 0.003 (0.007)	Loss 7.1197 (5.8126)	
Epoch: [2][120/1445]	Time 0.314 (0.321)	Data 0.004 (0.006)	Loss 1.3313 (5.5911)	
Epoch: [2][150/1445]	Time 0.316 (0.321)	Data 0.004 (0.006)	Loss 1.6364 (5.7968)	
Epoch: [2][180/1445]	Time 0.321 (0.321)	Data 0.004 (0.005)	Loss 1.4922 (5.8114)	
Epoch: [2][210/1445]	Time 0.318 (0.321)	Data 0.003 (0.005)	Loss 1.7534 (5.7980)	
Epoch: [2][240/1445]	Time 0.317 (0.321)	Data 0.004 (0.005)	Loss 1.6343 (5.3994)	
Epoch: [2][270/1445]	Time 0.319 (0.321)	Data 0.004 (0.005)	Loss 1.5496 (5.3562)	
Epoch: [2][300/1445]	Time 0.319 (0.320)	Data 0.004 (0.005)	Loss 0.7529 (5.2062)	
Epoch: [2][330/1445]	Time 0.322 (0.320)	Data 0.003 (0.005)	Loss 4.4552 (5.5189)	
Epoch: [2][360/1445]	Time 0.321 (0.320)	Data 0.004 (0.005)	Loss 1.2283 (5.6345)	
Epoch: [2][390/1445]	Time 0.322 (0.320)	Data 0.004 (0.005)	Loss 2.9809 (5.6183)	
Epoch: [2][420/1445]	Time 0.326 (0.320)	Data 0.004 (0.005)	Loss 1.3247 (5.4740)	
Epoch: [2][450/1445]	Time 0.323 (0.320)	Data 0.003 (0.004)	Loss 8.7673 (5.4450)	
Epoch: [2][480/1445]	Time 0.321 (0.320)	Data 0.004 (0.004)	Loss 1.9941 (5.3680)	
Epoch: [2][510/1445]	Time 0.326 (0.320)	Data 0.003 (0.004)	Loss 1.9367 (5.2793)	
Epoch: [2][540/1445]	Time 0.322 (0.321)	Data 0.004 (0.004)	Loss 0.9345 (5.1547)	
Epoch: [2][570/1445]	Time 0.330 (0.321)	Data 0.003 (0.004)	Loss 8.7007 (5.0910)	
Epoch: [2][600/1445]	Time 0.316 (0.321)	Data 0.004 (0.004)	Loss 0.9685 (5.0104)	
Epoch: [2][630/1445]	Time 0.327 (0.321)	Data 0.004 (0.004)	Loss 2.0445 (5.0253)	
Epoch: [2][660/1445]	Time 0.326 (0.321)	Data 0.005 (0.004)	Loss 1.0626 (5.0034)	
Epoch: [2][690/1445]	Time 0.324 (0.321)	Data 0.004 (0.004)	Loss 3.6263 (5.0246)	
Epoch: [2][720/1445]	Time 0.326 (0.321)	Data 0.004 (0.004)	Loss 5.7969 (4.9763)	
Epoch: [2][750/1445]	Time 0.321 (0.321)	Data 0.006 (0.004)	Loss 2.7085 (4.9628)	
Epoch: [2][780/1445]	Time 0.325 (0.321)	Data 0.006 (0.004)	Loss 3.4240 (4.9122)	
Epoch: [2][810/1445]	Time 0.323 (0.321)	Data 0.004 (0.004)	Loss 6.7226 (4.8409)	
Epoch: [2][840/1445]	Time 0.320 (0.321)	Data 0.004 (0.004)	Loss 4.2030 (4.8596)	
Epoch: [2][870/1445]	Time 0.323 (0.321)	Data 0.004 (0.004)	Loss 1.2137 (4.9603)	
Epoch: [2][900/1445]	Time 0.322 (0.321)	Data 0.003 (0.004)	Loss 1.1855 (4.9186)	
Epoch: [2][930/1445]	Time 0.326 (0.322)	Data 0.003 (0.004)	Loss 1.4695 (4.8626)	
Epoch: [2][960/1445]	Time 0.318 (0.322)	Data 0.004 (0.004)	Loss 1.5403 (4.8830)	
Epoch: [2][990/1445]	Time 0.323 (0.322)	Data 0.004 (0.004)	Loss 14.0639 (4.9136)	
Epoch: [2][1020/1445]	Time 0.324 (0.322)	Data 0.004 (0.004)	Loss 3.3041 (4.9200)	
Epoch: [2][1050/1445]	Time 0.322 (0.322)	Data 0.004 (0.004)	Loss 72.0564 (4.9350)	
Epoch: [2][1080/1445]	Time 0.320 (0.322)	Data 0.004 (0.004)	Loss 0.8479 (4.8786)	
Epoch: [2][1110/1445]	Time 0.316 (0.322)	Data 0.004 (0.004)	Loss 3.0519 (4.9048)	
Epoch: [2][1140/1445]	Time 0.323 (0.322)	Data 0.006 (0.004)	Loss 1.0989 (4.8719)	
Epoch: [2][1170/1445]	Time 0.318 (0.322)	Data 0.004 (0.004)	Loss 4.4147 (4.9519)	
Epoch: [2][1200/1445]	Time 0.320 (0.322)	Data 0.004 (0.004)	Loss 1.0484 (4.9298)	
Epoch: [2][1230/1445]	Time 0.324 (0.322)	Data 0.004 (0.004)	Loss 2.0145 (4.9268)	
