/opt/conda/envs/aigc/lib/python3.9/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/opt/conda/envs/aigc/lib/python3.9/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
/opt/conda/envs/aigc/lib/python3.9/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
epoch 0, processed 0 samples, lr 0.0000001000
Epoch: [2][1380/1445]	Time 0.322 (0.319)	Data 0.004 (0.004)	Loss 1.0769 (4.7849)	
Epoch: [2][1410/1445]	Time 0.322 (0.319)	Data 0.003 (0.004)	Loss 1.0617 (4.7741)	
Epoch: [2][1440/1445]	Time 0.320 (0.319)	Data 0.003 (0.004)	Loss 0.9228 (4.7964)	
begin test
 * MAE 44.304 
 * best MAE 44.304 
epoch 3, processed 4335 samples, lr 0.0000001000
Epoch: [3][0/1445]	Time 0.520 (0.520)	Data 0.385 (0.385)	Loss 1.6266 (1.6266)	
Epoch: [3][30/1445]	Time 0.302 (0.316)	Data 0.004 (0.016)	Loss 1.2183 (7.5310)	
Epoch: [3][60/1445]	Time 0.305 (0.313)	Data 0.003 (0.010)	Loss 1.5549 (5.9167)	
Epoch: [3][90/1445]	Time 0.310 (0.312)	Data 0.003 (0.008)	Loss 6.0538 (5.1727)	
Epoch: [3][120/1445]	Time 0.308 (0.311)	Data 0.004 (0.007)	Loss 2.1161 (5.2994)	
Epoch: [3][150/1445]	Time 0.320 (0.304)	Data 0.003 (0.006)	Loss 1.4679 (5.5948)	
Epoch: [3][180/1445]	Time 0.320 (0.307)	Data 0.003 (0.006)	Loss 2.4595 (5.5328)	
Epoch: [3][210/1445]	Time 0.323 (0.308)	Data 0.003 (0.005)	Loss 7.4985 (5.8933)	
Epoch: [3][240/1445]	Time 0.322 (0.310)	Data 0.004 (0.005)	Loss 3.5629 (5.5953)	
Epoch: [3][270/1445]	Time 0.320 (0.312)	Data 0.004 (0.005)	Loss 3.8680 (5.3267)	
Epoch: [3][300/1445]	Time 0.325 (0.313)	Data 0.004 (0.005)	Loss 1.0622 (5.4237)	
Epoch: [3][330/1445]	Time 0.327 (0.314)	Data 0.004 (0.005)	Loss 2.7579 (5.4243)	
Epoch: [3][360/1445]	Time 0.324 (0.314)	Data 0.004 (0.005)	Loss 22.1861 (5.2807)	
Epoch: [3][390/1445]	Time 0.325 (0.315)	Data 0.003 (0.005)	Loss 1.1641 (5.0775)	
Epoch: [3][420/1445]	Time 0.319 (0.316)	Data 0.004 (0.005)	Loss 1.2113 (5.1283)	
Epoch: [3][450/1445]	Time 0.316 (0.316)	Data 0.004 (0.004)	Loss 1.2239 (5.1782)	
Epoch: [3][480/1445]	Time 0.325 (0.317)	Data 0.004 (0.004)	Loss 1.8475 (5.2848)	
Epoch: [3][510/1445]	Time 0.326 (0.317)	Data 0.004 (0.004)	Loss 1.5706 (5.5212)	
Epoch: [3][540/1445]	Time 0.322 (0.317)	Data 0.003 (0.004)	Loss 1.4224 (5.3473)	
Epoch: [3][570/1445]	Time 0.322 (0.318)	Data 0.003 (0.004)	Loss 4.5466 (5.6497)	
Epoch: [3][600/1445]	Time 0.323 (0.318)	Data 0.004 (0.004)	Loss 1.7118 (5.5982)	
Epoch: [3][630/1445]	Time 0.327 (0.318)	Data 0.003 (0.004)	Loss 1.0470 (5.5806)	
Epoch: [3][660/1445]	Time 0.331 (0.318)	Data 0.004 (0.004)	Loss 1.8400 (5.4339)	
Epoch: [3][690/1445]	Time 0.329 (0.319)	Data 0.004 (0.004)	Loss 1.9717 (5.3273)	
Epoch: [3][720/1445]	Time 0.325 (0.319)	Data 0.004 (0.004)	Loss 72.6254 (5.5295)	
Epoch: [3][750/1445]	Time 0.324 (0.319)	Data 0.003 (0.004)	Loss 4.4564 (5.4390)	
